N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
21161,1 ACTIVO,BOGOTA,BOGOTA,LABORATORIOS NUTRICIONALES NATURAL LIFE SAS,9004740428,JULIAN ALBERTO ROBAYO GOMEZ,CR 54 No 2-58 BR GALAN,FAVORABLE,PRODUCTOS EN POLVO PARA PREPARAR BEBIDAS Y CONCENTRADOS LIQUIDOS PARA PREPARAR BEBIDAS A BASE DE AGUA
21162,1 ACTIVO,BOGOTA,BOGOTA,NUTS MARKET SAS,9011634910,CAMILA ANDREA VILLALOBOS PEREZ,CL 22C No 24-23 BR SAMPER MENDOZA,FAVORABLE,AJONJOLI;ALBARICOQUE;ALMENDRAS;AMAPOLA;AMARANTO;ANIS;AVELLANAS;COCO;NUECES;MANI;LINAZA;GIRASOL;SOYA TOSTADA Y SOYA MOLIDA;HARINA DE AVENA;ARROZ;ALMENDRAS;GARBANZO; SAL MARINA;CANELA;JENGIBRE;CURRY;CLAVOS;MORINGA;CURCUMA;COMINO
21171,1 ACTIVO,CUNDINAMARCA,SESQUILE,ZONA FRANCA CENTRAL CERVECERA SAS,9010794603,FABIAN RODRIGUEZ GOMEZ,ZN FRANCA KM 36 TC CENTRAL DEL NORTE AU BOGOTA- TUNJA,FAVORABLE,BEBIDA GASEOSA CON MALTA;CERVEZA
21173,1 ACTIVO,BOGOTA,BOGOTA,WAKABA PRODUCTOS SALUDABLES SAS,9011506476,LUZ MARINA GALVIS BAEZ,CR 69P No 72A-31,FAVORABLE,BEBIDAS A BASE DE SOYA
21174,1 ACTIVO,CUNDINAMARCA,COTA,DELICIAS DEL CAMPO H&M SAS,9000950944,MARIO CRISTANCHO BALAGUERA,AU MEDELLIN KM 1.5 VI SIBERIA PQ AGROINDUSTRIAL DE OCCIDENTE BD 2 LC 1242,FAVORABLE,BEBIDA A BASE DE LECHE Y ALMIDÓN;AREPAS RELLENAS CON QUESO;BOCADILLO;AREQUIPE;MASATO;ALMOJÁBANAS;PAN RESOBADO;CALENTANO
21175,1 ACTIVO,BOGOTA,BOGOTA,INVERSIONES SANGAR SAS,9011515401,REINER GARCIA LOZANO,CR 51 No 128A-20 BR PRADO VERANIEGO,FAVORABLE,AREPAS DE MAIZ (BLANCA Y AMARILLA);AREPA MAIZ RELLENA DE QUESO;AREPA DE MAIZ CON QUESO
21189,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,NUOVO ALIMENTOS SAS,9010386865,RICARDO TORO LUKEDE,CR 48 B NUMERO 99 SUR - 59 BD 19 CIUDADELA SAN BARTOLOME,FAVORABLE,FRUTAS  LIOFILIZADAS  VARIEDADES
21192,1 ACTIVO,CAUCA,SANTANDER DE QUILICHAO,HOYOS HERNANDEZ YOLANDA ESTABLECIMIENTO DE COMERCIO GRANIZADOS DEL CAUCA,10058561420,YOLANDA HOYOS HERNANDEZ,CR 9 No 17-53 BR GENERAL SANTANDER,FAVORABLE,AGUA POTABLE TRATADA
21198,1 ACTIVO,CHOCO,QUIBDO,LA TIENDA DEL AGUA LOS MOLINOS SAS,9007857698,OIDEN DE JESUS MARIN LONDOÑO,CL 20 No 4 - 61,FAVORABLE,AGUA POTABLE TRATADA
21199,1 ACTIVO,ANTIOQUIA,ITAGUI,ALIMENTOS Y BEBIDAS JJ SAS,9010119705,ALBA YANET LOPEZ QUINTERO,CR 46 A No 64 - 44,FAVORABLE,APERITIVO NO VINICO VARIEDADES
21201,1 ACTIVO,CUNDINAMARCA,TABIO,GARCIA CUADRADO ALID YANETH-PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO PANIFICADORA RUBIPAN,398086025,GARCIA CUADRADO ALID YANETH,CL 4 No 1-15 BR EL PORTAL,FAVORABLE,PAN VARIEDADES Y TORTAS
21203,1 ACTIVO,HUILA,NEIVA,EMBUPEZ SAS,9011511487,JORGE ENRIQUE SALAS PEREZ,"CR 9 No 4-85, BR EL CENTRO",FAVORABLE,HAMBURGUESAS DE PESCADO;ALBONDIGAS DE PESCADO
21222,1 ACTIVO,PUTUMAYO,VALLE DEL GUAMUEZ,ESTABLECIMIENTO PROPIEDAD DE JIMMY ROLANDO ENRIQUEZ ALVARADO - AGUA MONTANA,875740830,JIMMY ROLANDO ENRIQUEZ ALVARADO,VDA LORO 1 VIA A LAS DELICIAS KM 1,FAVORABLE,AGUA POTABLE TRATADA
21224,1 ACTIVO,CUNDINAMARCA,MOSQUERA,PRODUCTOS NATURALES LA COLMENA SAS,8002404226,JUAN CARLOS GONZALEZ PARDO,CR 14A No 7-130 MZ 7 BG 3 PQ INDUSTRIAL MONTANA,FAVORABLE,PANES LEUDADOS CON LEVADURA O CON BICARBONATO
21225,1 ACTIVO,BOGOTA,BOGOTA,FLOREZ CASTIBLANCO LUZ HERMINDA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO ALIMENTOS EL MANA,204239374,LUZ HERMINDA FLOREZ CASTIBLANCO,CR 98A No 131C- 33 BR AURES I,FAVORABLE,PLATANO FRITO CONGELADO EN DIFERENTES TAMAÑOS
21226,1 ACTIVO,BOGOTA,BOGOTA,CATERING PALERMO SAS,9011075967,JOSE IGNACIO CARDENAS MONTILLA,CL 45A No 19-25 BR PALERMO,FAVORABLE,PERNIL DE CERDO;ENSAMBLE DE REFRIGERIOS
21228,1 ACTIVO,CUNDINAMARCA,SAN FRANCISCO,ACUACULTURA SANTAMARIA SAS,8305131271,CAROLA PINILLA DE UMAÑA,FI SAN PEDRO VDA SAN MIGUEL,FAVORABLE,TRUCHA EVISCERADA FRESCA
21229,1 ACTIVO,BOGOTA,BOGOTA,BAGEL SHOP BOGOTA,11368853440,VALENTINA MONTOYA MORALES,CR 19 No 93A-14,FAVORABLE,PRODUCTOS DE PANADERIA DULCE: TORTAS; GALLETAS DULCES; PASTELES; BIZCOCHOS; DONUTS; PANECILLOS DULCES
21236,1 ACTIVO,BOYACA,SABOYA,LACTEOS GABRIELITA MG SAS,9010853022,MARIA NELLY ROMERO MARTINEZ,VDA PUENTE DE TIERRA SC LA ROSITA FI LA ESPERANZA,FAVORABLE,QUESO PASTEURIZADO DOBLE CREMA;CAMPESINO Y CRIOLLO
21237,1 ACTIVO,BOGOTA,BOGOTA,FRIGOCARNICOS MONSERRATE LTDA,8301047464,HECTOR EDGARDO SOTO BOHORQUEZ,CL 17 No 129-18 PUENTE GRANDE,FAVORABLE,CHORIZO;LONGANIZA;MORCILLA
21249,1 ACTIVO,BOGOTA,BOGOTA,AREPAS DOÑA LINA SAS,9010966017,GIRALDO MOLINA LAZARO,CL 41 SUR No 26A-06,FAVORABLE,AREPAS DE MAIZ BLANCO Y AMARILLO CON Y SIN QUESO
21250,1 ACTIVO,BOYACA,SOGAMOSO,INDUSTRIA COLOMBIANA DE PLASTICOS Y AGUA - INCOLPA M&N SAS,9011437017,JOSE ADOLFO MONROY GUERRERO,CR 11 No 25-64 SUR BR VENECIA,FAVORABLE,AGUA POTABLE TRATADA ENVASADA
21251,1 ACTIVO,BOGOTA,BOGOTA,IMPORTADORA Y PRODUCTORA DE LICORES SA,8000294216,JAVIER BERNARDO VELOZA RONCANCIO,CL 25D No 95-76,FAVORABLE,LICORES Y CREMAS
21256,1 ACTIVO,BOGOTA,BOGOTA,HWP SAS,9002521534,DIANA CRISTINA RODRIGUEZ TORO,AC 6 No 47-58 IN 1,FAVORABLE,REFRESCOS EN POLVO A BASE DE AZUCAR;MEZCLAS PARA PRODUCTOS DE PANADERIA
21258,1 ACTIVO,BOGOTA,BOGOTA,CALYPSO DE CARIBE SA PLANTA APROMAR,8000551164,ELMER BOTIA LONDOÑO,CR 32 No 2A-40,FAVORABLE,FILETES DE PESCADO;CAZUELA DE MARISCOS;PAELLA;EMPAQUE DE CAMARON
21259,1 ACTIVO,BOGOTA,BOGOTA,AX2 GOURMET SAS,9010923401,JUAN DAVID CARRILLO GAVANZO,CL 79B No 56-31 BR GAITAN,FAVORABLE,CHICHA MORADA Y MELADO DE PANELA;FRUTAS FRESAS CONGELADAS PELADAS Y CORTADAS (PIÑA Y LULO);FRUTAS EN ALMIBAR (DURAZNO Y PIÑA);SALSA DE CHOCOLATE Y AREQUIPE;CARNES FRESCAS ;SALSAS (ROCOTO DE AJI GOL);OTROS ALIMENTOS COMPUESTOS (PROTEINAS COCIDAS)
21261,1 ACTIVO,CUNDINAMARCA,ZIPAQUIRA,COSMOLAC SAS,9005820628,CAMILA SERRANO FRANCO,CL 12 No 37-19 BR LA PAZ,FAVORABLE,LECHE EN POLVO ENTERA;LECHE EN POLVO AZUCARADA;ALIMENTO LACTEO EN POLVO
21263,1 ACTIVO,BOGOTA,BOGOTA,INVERSIONES Y MICROCERVECERIA ALCE SAS,9011681822,DORA CECILIA CELY GOMEZ,CR 27B No 76-39,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
21266,1 ACTIVO,ANTIOQUIA,ANORI,"ASOCIACION MUNICIPAL DE CACAOCULTORES DE ANORI - ""ASOMUCAN""",9000728206,FELIX ANTONI ROJAS,CR 32 NO 29-13,FAVORABLE,CHOCOLATE DE MESA
21268,1 ACTIVO,ANTIOQUIA,MEDELLIN,PESCADERIA FRIGORIFICO OCEANOS SAS,9008944146,CARLOS WBERTO VEGA,CR 74 No 28 - 51,FAVORABLE,PESCADO Y/O PRODUCTOS DE LA PESCA; FILETEADOS O PICADOS; REFRIGERADOS O CONGELADOS
21269,1 ACTIVO,ANTIOQUIA,JARDIN,CARDENAS SUAREZ HERNAN DARIO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PLAYA BONITA,708107506,HERNAN DARIO CARDENAS SUAREZ,VDA QUEBRADA BONITA KM 6 VIA JARDIN RIO SUCIO,FAVORABLE,CAPTURA; BENEFICIO; EVISCERADO; DESPINADO Y CORTE DE TRUCHA
21275,1 ACTIVO,ANTIOQUIA,MEDELLIN,HAKUNA BEER SAS,9012104819,CAMILO ORTIZ SIERRA,CR 82D No 37ASUR-21 COR SAN ANTIO DE PRADO,FAVORABLE CON OBSERVACIONES,CERVEZA
21278,1 ACTIVO,ANTIOQUIA,JARDIN,MARIN MARULANDA CLARA INES PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO TRUCHAS LA LINDA JARDIN,10373221156,CLARA INES MARIN MARULANDA,VDA LA LINDA FINCA LA CLARA MUNICIPIO DE JARDIN,FAVORABLE,PESCADO FRESCO REFRIGERADO O CONGELADO
21282,1 ACTIVO,ANTIOQUIA,ITAGUI,RICURAS DOÑA MARIA JF SAS,9008957541,LUIS FERNANDO HENAO GALLEGO,CR 47 No 87 - 28,FAVORABLE,TOCINETA AHUMADA VARIEDADES;COSTILLA DE CERDO AHUMADA;LOMO DE CERDO;CHUZO VARIEDADES;ALITAS VARIEDADES
21285,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,DUAS RODAS COLOMBIA SAS,8002534673,JULIO ABATEPAULO,CR 48 C No 100 SUR - 72,FAVORABLE,"MEZCLAS EN POLVO PARA ADOBAR, BASES PARA COBERTURA, FRUTAS DESHIDRATADAS; MEZCLA DE ADITIVOS; SABORIZANTES"
21286,1 ACTIVO,ANTIOQUIA,GUARNE,TECNOLOGIAS ALIMENTICIAS SAS - TECNOAL SAS,8110228826,SANTIAGO ALZATE GOMEZ,"CENTRO LOGISTICO DE ORIENTE, BD 204 VI AU MEDELLIN - BOGOTA RETORNO 9",FAVORABLE,"BEBIDA ACHOCOLATADA;TE; MEZCLA EN POLVO PARA PREPARAR REFRESCOS; GELATINA, MEZCLA EN POLVO PARA PREPARAR MALTEADAS;CREMA NO LACTEA"
21289,1 ACTIVO,ANTIOQUIA,ITAGUI,ARCILA MURILLO LUISA FERNANDA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO DENOMINADO COMERCIALIZADORA MURILLO,10394722921,LUISA FERNANDA ARCILA MURILLO,CR 45 A No 67 B - 101,FAVORABLE,AREPA DE MAIZ
21290,1 ACTIVO,ANTIOQUIA,LA ESTRELLA,ALIMENTOS LA MASIA SAS,9009345409,JOSE ALEJANDRO SALDARRIAGA MONTOYA,CR 50 No 79 SUR - 131 LC 6,FAVORABLE,CHORIZO VARIEDADES; MORCILLA Y COSTILLA AHUMADA
21294,1 ACTIVO,ANTIOQUIA,MEDELLIN,VELASQUEZ MANES SERGIO ALEJANDRO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO LA COCINA CHIPS & FACTORY,705674610,SERGIO ALEJANDRO VELASQUEZ MANES,CL 2 SUR No 51 B - 12,FAVORABLE,PAPAS FRITAS Y OTROS SNACKS
21295,1 ACTIVO,ATLANTICO,BARRANQUILLA,AGROINDUSTRIAL MOLINO SONORA AP SAS,8000202201,JAIRO SEDAN MURRA,AV CIRCUNVALARCL 110 No 12F-29 PARQUE LA TRINIDAD 1 BDG 9 Y 10,FAVORABLE,"GRANOS ENTEROS, ENTEROS O EN COPOS SE INCLUYE EL ARROZ."
21296,1 ACTIVO,ATLANTICO,GALAPA,CI SILICAR SAS,8000703124,ABELARDO ENRIQUE GARCIA MOJICA,KM10 VJ/MINA 1 KM ZONA FRANCA CAYENA BG TECHO AZUL,FAVORABLE,ACEITE VEGETAL REFINADO
21300,1 ACTIVO,ATLANTICO,BARRANQUILLA,ONE CARIBE SAS,9010533562,ANIBAL JOSE JANNA ANGULO,"VIA 40 No 70-14, PARQUE INDUSTRIAL, CANTAMAR, BOD 6",FAVORABLE,"AGUA POTABLE TRATADA, BEBIDA CARBONATADA CON SABOR VARIEDADES"
21303,1 ACTIVO,ATLANTICO,BARRANQUILLA,ALIMENTOS PURA VIDA SAS,9005213732,JUAN DAVID RESTREPO GALLEGO,CR 68 No 81-137,FAVORABLE,PULPA CONGELADA DE FRUTA VARIEDADES
21304,1 ACTIVO,ATLANTICO,BARRANQUILLA,EL JARRO PRODUCTOS ALIMENTICIOS SAS,9010435108,JOSE MIGUEL GOMEZ CASTRO,VIA 40 No 85-340 BG 1-BARRANQUILLA,FAVORABLE,"DERIVADOS LÁCTEOS BEBIBLES O CUCHAREABLES, SABORIZADOS Y/O FERMENTADOS (YOGUR), PAN VARIEDEADES"
21306,1 ACTIVO,ATLANTICO,BARRANQUILLA,PRODUCTOS NESA SAS,9010901642,ARTURO EMILIO FERNANDEZ,VIA 40 #  77A - 17 LOCAL 3,FAVORABLE,GRANOLA
21308,1 ACTIVO,ANTIOQUIA,CAUCASIA,AMOLEON SAS ZOMAC,9012382466,LUIS CARLOS CALLE RESTREPO,TV 1 No 26 - 60,FAVORABLE,ARROZ
21311,1 ACTIVO,CORDOBA,SAN ANTERO,NATALI DE LOS ANGELES MIRANDA HERRERA PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO EMBASADORA PLAYA BLANCA,10473342636,NATALI DE LOS ANGELES MIRANDA HERRERA,CR 14B No 12B - 50,FAVORABLE,AGUA
21319,1 ACTIVO,SANTANDER,PUERTO PARRA,RIVERA PINEDA ESMERALDA-QUESO Y LACTEOS D CANTABRIA,207595492,RIVERA PINEDA ESMERALDA,VI PANAMERICANA CRUCE PUERTO PARRA,FAVORABLE,QUESOS FRESCOS
21339,1 ACTIVO,RISARALDA,PEREIRA,DIANA ESPINOSA COLORADO -CHORIZOS DE LA ABUELA,339167959,DIANA ESPINOSA COLORADO,CR 23 No 74 - 45 BR CUBA,FAVORABLE,CHORIZO DE CERDO;HAMBURGUESA
21340,1 ACTIVO,CALDAS,MANIZALES,ORTEGA MORENO ORLANDO - OLEOCALDAS,102321372,ORLANDO ORTEGA MORENO,CL 50 No 18A-08,FAVORABLE,"GRASA, ACEITE, MATECA, ACIDOS GRASOS, ACEITES ESENCIALES,CERAS(DIFERENTES A LAS DE ABEJAS),DE ORIGEN VEGETAL"
21344,1 ACTIVO,TOLIMA,NATAGAIMA,ESTABLECIMIENTO PROPIEDAD DE MARIA CAMILA TRUJILLO PEREZ - AGUA PURA BRISAS DEL PANCANDE NATAGAIMA,10245916439,MARIA CAMILA TRUJILLO PEREZ,CR 7 No 5-39L 3 BR CENTRO,FAVORABLE,AGUA POTABLE TRATADA
21345,1 ACTIVO,CALDAS,MANIZALES,SUPER DE ALIMENTOS SAS,8908052674,MARIA ANTONIA ARANGO ARANGO,KM 10 VI AL MAGDALENA,FAVORABLE,CARAMELOS BLANDOS MASTICABLES VARIEDADES; GOMA DE MASCAR VARIEDADES
21348,1 ACTIVO,VALLE_DEL_CAUCA,TULUA,GROUP FARMACEUTICO DHPHARMA SAS,9012264288,JUAN SEBASTIAN JARAMILLO AYALA,CL 20 No 15 A - 11 BR LOS OLMOS,FAVORABLE,ALIMENTOS EN POLVO
21355,1 ACTIVO,NARIÑO,PASTO,ESPINOZA RODRIGUEZ MARIA ALEXANDRA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO LACTEOS LA ESPAÑOLA,367514955,MARIA ALEXANDRA ESPINOZA RODRIGUEZ,CORREGIMIENTO SANTA BARBARA CS 10 KM 20 VI RIO BOBO,FAVORABLE,QUESOS FRESCOS (NO MADURADOS)
21359,1 ACTIVO,ATLANTICO,BARRANQUILLA,JORGE JOSE CUSSE NADER - PAN ARABE LA 54,721776302,JORGE JOSE CUSSE NADER,CL 54 No 43-167,FAVORABLE,PAN ARABE
21364,1 ACTIVO,ATLANTICO,BARRANQUILLA,PALOMINO QUINTERO GIOVANE ALEXI PROPIETARIO DEL ESTABLECIMIENTO TRADISAN,912645391,PALOMINO QUINTERO GIOVANE ALEXI PROPIETARIO DEL ESTABLECIMIENTO TRADISAN,CL 48 No 23-77,FAVORABLE,AREPA DE MAIZ VARIEDADES
21368,1 ACTIVO,META,VILLAVICENCIO,INVERSIONES CASA DEL KUMIS SAS,9011922459,ADRIANO HERNANDEZ GONZALEZ,CL 37 No 31A - 10 CENTRO,FAVORABLE,PRODUCTOS DE PANADERIA Y ALIMENTOS COMPUESTOS; LISTOS PARA EL CONSUMO
21370,1 ACTIVO,ANTIOQUIA,COPACABANA,CONOS Y GALLETAS ANTIOQUIA SAS,9002664031,LUIS ALBERTO AMADO CASTILLO,AUTOPISTA NORTE KM 14 BDG 4,FAVORABLE,GALLETAS PARA CONOS DE HELADO VARIEDADES
21390,1 ACTIVO,ANTIOQUIA,MEDELLIN,CERVECERIA MADRE MONTE SAS,9012539520,JOHNNY ANDERLE GUERRERO BUCHELI,CL 2 SUR No 51B-23,FAVORABLE CON OBSERVACIONES,CERVEZAS
21397,1 ACTIVO,SANTANDER,GUAPOTA,VIDAROTI SAS,9008632684,LUZ MYIRIAM MEJIA AYALA,FI EL TRINFO VDA MORARIO,FAVORABLE CON OBSERVACIONES,PANELA
21427,1 ACTIVO,VALLE_DEL_CAUCA,EL CERRITO,LUIS ALFONSO OREJUELA TIGREROS ESTABLECIMIENTO DE COMERCIO BODEGAS DON OREJUELA,62943158,LUIS ALFONSO OREJUELA TIGREROS,CL 4 No 2-04 COR SANTA ELENA,FAVORABLE CON OBSERVACIONES,VINOS
21429,1 ACTIVO,VALLE_DEL_CAUCA,YUMBO,INDUSTRIA PANIFICADORA FRESPAN DE COLOMBIA LIMITADA FRESPAN LTDA,8000856654,TERESA CARMONA SALGADO,CR 32A No 10-240 ARROYOHONDO,FAVORABLE,PANES LEUDADOS
21433,1 ACTIVO,TOLIMA,MELGAR,ESTABLECIMIENTO PROPIEDAD DE AGUSTIN VALVERDE GRANJA - ENVASADORA SAN AGUSTIN,169890185,AGUSTIN VALVERDE GRANJA,Cl 7 No. 34 – 03 BR SICOMORO,FAVORABLE,AGUAPOTABLETRATADA
21438,1 ACTIVO,ANTIOQUIA,MACEO,ANTIOQUEÑA DE CHOCOLATES Y LICORES SAS,9003438650,ANGELA MARIA SALAZAR ALZATE,CR 30 No 33 - 45,FAVORABLE,CHOCOLATE DE MESA; CHOCOLATE PARA CONSUMO DIRECTO
21450,1 ACTIVO,VALLE_DEL_CAUCA,CANDELARIA,CI FRUTICOL INDUSTRIAL SAS SIGLA FRUTICOL SAS,9004122214,SEGUNDO JAVIER SAENZ LEGUIZAMON,"VI CAVASA KM 1,5 CONDOMINIO LA NUBIA 2 BD 579 A 81",FAVORABLE,BOCADILLO DE GUAYABA;PULPA DE FRUTA CONGELADA ;REEMPAQUE DE AZUCAR Y PANELA (PARA EXPORTACION)
21451,1 ACTIVO,VALLE_DEL_CAUCA,GINEBRA,VITA VID 1 SAS,9011343926,KATHERIN CASTELLANOS TENORIO,CL 1 No 5-20 BR EL ALCAZAR,FAVORABLE,NECTARES DE FRUTAS
21455,1 ACTIVO,BOYACA,DUITAMA,RITACUBA CERVECERIA ARTESANAL SAS,9009661071,SIN DATO,CR 22 No 8-19,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
21457,1 ACTIVO,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,EMMALAC SAS - ACOPIO DE LECHE,9009678870,MARIELA MURCIA,KM 0.5 VI UBATE LENGUAZAQUE,FAVORABLE,CENTRO DE ACOPIO DE LECHE CRUDA
21458,1 ACTIVO,CUNDINAMARCA,SOPO,MARIA YOLANDA RODRIGUEZ DARABOS - PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO GALLETERIA BUDAPEST SOPO,209485271,MARIA YOLANDA RODRIGUEZ DARABOS,CR 4 No 5-80,FAVORABLE,GALLETAS;TORTAS;MERENGUITOS
21459,1 ACTIVO,BOGOTA,BOGOTA,INDIA COLORADA SAS,9011532019,JUAN GUILLERMO DOMINGUEZ CAICEDO,CR 19B No 168-36 BR TOBERIN,FAVORABLE CON OBSERVACIONES,CERVEZA ARTESANAL
21460,1 ACTIVO,BOGOTA,BOGOTA,FRUTIAGRO SAS,8305046842,CLAVIJO REINA NESTOR ANDRES,CR 20 No 2-51 BG 27 LC 2,FAVORABLE,FRUTAS EN ALMIBAR; HORTALIZAS Y OTROS VEETALES FRESCOS; HORTALIZAS Y OTROS VEGETALES FRESCOS REFRIGERADOS O CONGELADOS (SIN OTRO TRATAMIENTO FISICO O CUALQUIER QUIMICO); PELADOS; CORTADOS O DESMENUZADOS: SEINCLUYEN HONGOS Y SETAS; RAICES Y TUBERCULOS; LEGUMBTRES Y LEGUMINOSAS; ALOE VERA; ALGAS MARINAS; NUECES Y SEMILLAS
21463,1 ACTIVO,CUNDINAMARCA,TOCANCIPA,BLENDHUB COLOMBIA SAS,9011359460,HARVEY CASTAÑEDA PARDO,PQ INDUSTRIAL GRAN SABANA PH BG M14 TOCANCIPA,FAVORABLE,HARINAS SE INCLUYEN LAS DE HORTALIZAS Y VEGETALES
21469,1 ACTIVO,BOGOTA,BOGOTA,MALAGON CORTES JOSE EDUARDO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PRODCUTOS LAURA TATIS,792900222,JOSE EDUARDO MALAGON CORTES,CL 40 SUR No 79-22,FAVORABLE,YOYOS;PANECILLOS DULCES
21472,1 ACTIVO,BOGOTA,BOGOTA,INVERSIONES HR SAS,9006105178,RODRIGO MORENO PAEZ,CL 67A No 70-17,FAVORABLE,AREPAS DE MAIZ;ALMOJABANA
21480,1 ACTIVO,CUNDINAMARCA,MADRID,MANA COLORADA SAS,9007744965,JUAN FELIPE CASTRO MIRANDA,FI MANA COLORADA KM 5 VI TENJO LA PUNTA VDA CARRASQUILLA,FAVORABLE,YOGURT DESCREMADO VARIEDADES
21482,1 ACTIVO,BOGOTA,BOGOTA,AREPAS ALDANA ESTABLECIMIENTO DE COMERCIO DE PROPIEDAD DE ALDANA ZAPATA FAVER,121977734,FAVER ALDANA ZAPATA,CR 80H No 50A-04 SUR,FAVORABLE,AREPAS DE MAIZ
21485,1 ACTIVO,BOGOTA,BOGOTA,GUTIERREZ RAMIREZ CARMEN MARINA PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO TORTAS DE CHOCOLATE MANINA,415410254,CARMEN MARINA GUTIERREZ RAMIREZ,CR 59 A No129 -17 LC 2,FAVORABLE,BROWNIES;CUP CAKES
21486,1 ACTIVO,BOGOTA,BOGOTA,INDUSTRIAS ALIMENTICIAS SAN NICOLAS SAS,9005267974,ALEJANDRO FERRO JUNCO,CL 11 No 68-50,FAVORABLE,PANES LEUDADOS VARIEDADES
21487,1 ACTIVO,CUNDINAMARCA,FUNZA,GASTRONOMIA ITALIANA EN COLOMBIA SAS,9009348514,JUAN PABLO CASTAÑO VILLEGAS,AU MEDELLIN KM 7.5 CELTA TRADE PARK BG 23,FAVORABLE,MASA PARA PIZZA;POLLO STRIPS
21490,1 ACTIVO,BOGOTA,BOGOTA,INDUSTRIA DE ALIMENTOS EL BUEN GUSTO SAS - ALIMENTOS BUEN GUSTO SAS,9005324706,SIERVO IGNACIO RODRIGUEZ MENDEZ,CL 22A No 19A-60,FAVORABLE,TAMALES
21496,1 ACTIVO,BOGOTA,BOGOTA,OPERACION DESARROLLO Y ADMINISTRACION DE NEGOCIOS SAS,9008005238,JOSE DAVID CALVO FRANCEL,CL 180 No 7- 30 MD 6 LC 8 CODABAS,FAVORABLE,PAN DE BONOS;ALMOJABANAS;BUÑUELOS Y MASATO;AVENA MOLIDA PRECOCIDA
21498,1 ACTIVO,BOGOTA,BOGOTA,ROCHA DUARTE JORGE ENRIQUE PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PRODUCTOS LA ANTIOQUEÑITA DE AREPAS,31063819,JORGE ENRIQUE ROCHA DUARTE,Cl 91A No 95-48,FAVORABLE,AREPAS DE MAIZ
21503,1 ACTIVO,BOGOTA,BOGOTA,IDARRAGA NARANJO DIEGO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO AREPAS GOURMET,14186277,DIEGO IDARRAGA NARANJO,CR 86 BIS No 42F-03 SUR,FAVORABLE,AREPAS DE MAIZ. VARIEDADES: BLANCA; CHOCOLO Y QUESO
21504,1 ACTIVO,CUNDINAMARCA,MOSQUERA,INDUSTRIA DE MARGARINAS Y ACEITES SAS,9008808796,JUAN FELIPE BOHORQUEZ SUAREZ,AV TRONCAL DE OCCIDENTE No 18-76 PQ INDUSTRIAL SANTO DOMINGO MZ F BD 1,FAVORABLE,MARGARINAS
21523,1 ACTIVO,ATLANTICO,BARRANQUILLA,ALIMENTOS RK SAS,9008182637,FRANCISCO ELJACH,CR 8 No 36B-133,FAVORABLE,AREPAS DE MAIZ BLANCO
21527,1 ACTIVO,NARIÑO,CUMBAL,QUINTERO GONZALEZ DAIRO ALONSO PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO LACTEOS LA EXCELENCIA,10379463761,DAIRO ALONSO QUINTERO GONZALEZ,BR EL ESTADIO FRENTE AL ESTADIO CINCUENTENARIO,FAVORABLE,QUESOS FRESCOS (NO MADURADOS)
21529,1 ACTIVO,VALLE_DEL_CAUCA,GINEBRA,VITA VID1 SAS,9011343926,KATHERIN CASTELLANOS TENORIO,CL 1 No 5-20 BR EL ALCAZAR,FAVORABLE,NECTARES DE FRUTAS
21534,1 ACTIVO,QUINDIO,ARMENIA,PANIFICADORA LOS TRIGALES DEL EJE CAFETERO SAS,9011287021,JUAN DAVID ROJAS RODRIGUEZ,CL 38A No 19-39,FAVORABLE,PAN VARIEDADES
21535,1 ACTIVO,QUINDIO,LA TEBAIDA,PLATANILLOS CROCANTES DE PLATANO SAS - PLATANILLOS CROCANTES DE PLATANO,9011268131,MARIA CLARA CEBALLOS SANCHEZ,CR 2 No 12-09,FAVORABLE,PLATANO FRITO VARIEDADES
